PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001243,Gainsborough,East Midlands, 33.78 , 33.64 , 5.22 , 1.21 , 25.05 , -   , -   , 1.10 , 25.98 , 25.37 , 1.41 , 0.15 , 14.94 , -   , -   , 0.19 , 42.42 , 41.35 , 11.45 , 4.35 , 36.87 , -   , -   , 3.51 
E14001244,Gateshead Central and Whickham,North East, 15.45 , 57.37 , 8.45 , 3.46 , 13.09 , -   , -   , 2.18 , 11.46 , 48.42 , 3.07 , 0.82 , 6.58 , -   , -   , 0.48 , 19.51 , 66.75 , 16.49 , 7.92 , 22.28 , -   , -   , 5.84 
E14001245,Gedling,East Midlands, 22.24 , 48.76 , 2.97 , 8.59 , 14.56 , -   , -   , 2.88 , 17.06 , 39.49 , 0.75 , 2.72 , 7.78 , -   , -   , 0.55 , 27.49 , 58.09 , 7.49 , 18.95 , 23.83 , -   , -   , 7.85 
E14001246,Gillingham and Rainham,South East, 30.55 , 48.89 , 2.66 , 2.61 , 12.57 , -   , -   , 2.73 , 24.15 , 40.75 , 0.80 , 0.68 , 6.94 , -   , -   , 0.64 , 36.82 , 57.51 , 6.44 , 6.29 , 20.84 , -   , -   , 6.52 
E14001247,Glastonbury and Somerton,South West, 19.48 , 15.23 , 41.27 , 5.06 , 18.96 , -   , -   , -   , 13.16 , 8.84 , 27.67 , 0.85 , 9.84 , -   , -   , -   , 27.12 , 23.31 , 56.13 , 13.19 , 30.00 , -   , -   , -   
E14001248,Gloucester,South West, 26.65 , 43.95 , 7.45 , 5.82 , 14.35 , -   , -   , 1.78 , 20.53 , 35.08 , 2.49 , 1.41 , 7.52 , -   , -   , 0.32 , 33.03 , 52.53 , 15.46 , 13.45 , 23.83 , -   , -   , 5.32 
E14001249,Godalming and Ash,South East, 31.16 , 14.28 , 42.47 , 1.24 , 10.16 , -   , -   , 0.69 , 25.27 , 10.02 , 33.36 , 0.20 , 5.35 , -   , -   , 0.16 , 37.15 , 19.30 , 51.57 , 3.61 , 15.99 , -   , -   , 1.76 
E14001250,Goole and Pocklington,Yorkshire and The Humber, 31.28 , 36.71 , 5.51 , 7.05 , 18.16 , -   , -   , 1.28 , 24.17 , 27.91 , 1.48 , 1.91 , 9.28 , -   , -   , 0.23 , 38.56 , 44.99 , 12.33 , 15.98 , 29.85 , -   , -   , 3.41 
E14001251,Gorton and Denton,North West, 9.36 , 61.25 , 5.09 , 5.87 , 9.41 , -   , -   , 9.02 , 6.84 , 51.56 , 1.77 , 1.67 , 4.65 , -   , -   , 3.09 , 12.18 , 70.82 , 11.27 , 13.21 , 16.17 , -   , -   , 19.10 
E14001252,Gosport,South East, 31.15 , 34.22 , 9.08 , 3.91 , 20.11 , -   , -   , 1.54 , 24.04 , 25.94 , 3.49 , 0.77 , 11.75 , -   , -   , 0.35 , 38.60 , 43.23 , 17.67 , 10.34 , 30.80 , -   , -   , 4.48 
E14001253,Grantham and Bourne,East Midlands, 36.17 , 38.30 , 4.89 , 4.57 , 14.28 , -   , -   , 1.78 , 27.77 , 30.74 , 1.24 , 1.31 , 7.36 , -   , -   , 0.37 , 44.46 , 46.42 , 11.10 , 10.64 , 24.06 , -   , -   , 4.86 
E14001254,Gravesham,South East, 35.43 , 43.21 , 4.15 , 3.59 , 13.63 , -   , -   , -   , 28.21 , 33.69 , 1.15 , 0.67 , 6.82 , -   , -   , -   , 42.71 , 52.69 , 9.41 , 10.08 , 22.88 , -   , -   , -   
E14001255,Great Grimsby and Cleethorpes,Yorkshire and The Humber, 27.88 , 42.11 , 4.33 , 2.00 , 21.22 , -   , -   , 2.46 , 21.49 , 33.86 , 1.01 , 0.29 , 12.15 , -   , -   , 0.57 , 34.54 , 50.67 , 10.41 , 6.02 , 32.25 , -   , -   , 7.11 
