PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001098,Birmingham Perry Barr,West Midlands, 12.53 , 54.90 , 4.92 , 4.01 , 6.41 , -   , -   , 17.23 , 8.81 , 42.08 , 1.27 , 0.97 , 2.93 , -   , -   , 7.07 , 16.88 , 65.73 , 11.56 , 9.35 , 12.06 , -   , -   , 34.01 
E14001099,Birmingham Selly Oak,West Midlands, 16.90 , 62.21 , 5.70 , 3.78 , 6.46 , -   , -   , 4.95 , 13.06 , 51.84 , 1.79 , 0.65 , 2.75 , -   , -   , 1.09 , 21.17 , 71.88 , 12.74 , 11.16 , 12.40 , -   , -   , 13.49 
E14001100,Birmingham Yardley,West Midlands, 13.02 , 52.29 , 6.55 , 5.64 , 16.62 , -   , -   , 5.88 , 9.31 , 41.70 , 1.85 , 1.54 , 8.84 , -   , -   , 1.49 , 17.24 , 62.58 , 14.01 , 13.27 , 26.88 , -   , -   , 14.01 
E14001101,Bishop Auckland,North East, 26.40 , 49.53 , 3.43 , 1.90 , 16.58 , -   , -   , 2.16 , 20.49 , 40.26 , 1.00 , 0.22 , 8.16 , -   , -   , 0.43 , 32.71 , 58.31 , 8.51 , 6.39 , 27.44 , -   , -   , 6.07 
E14001102,Blackburn,North West, 12.79 , 61.02 , 1.71 , 2.37 , 12.63 , -   , -   , 9.48 , 9.41 , 50.08 , 0.42 , 0.36 , 6.35 , -   , -   , 2.91 , 16.85 , 70.19 , 3.93 , 7.12 , 20.48 , -   , -   , 19.77 
E14001103,Blackley and Middleton South,North West, 13.76 , 62.62 , 4.65 , 5.87 , 13.10 , -   , -   , -   , 10.15 , 52.53 , 1.34 , 1.55 , 6.31 , -   , -   , -   , 17.84 , 71.99 , 10.69 , 13.99 , 22.32 , -   , -   , -   
E14001104,Blackpool North and Fleetwood,North West, 26.03 , 50.61 , 3.63 , 2.71 , 15.20 , -   , -   , 1.83 , 20.50 , 41.33 , 0.94 , 0.30 , 7.59 , -   , -   , 0.37 , 32.31 , 59.22 , 9.04 , 8.39 , 25.79 , -   , -   , 4.95 
E14001105,Blackpool South,North West, 21.47 , 43.41 , 1.96 , 5.15 , 24.47 , -   , -   , 3.54 , 16.21 , 34.34 , 0.51 , 1.58 , 16.03 , -   , -   , 0.92 , 27.95 , 51.28 , 4.81 , 10.59 , 34.27 , -   , -   , 8.73 
E14001106,Blaydon and Consett,North East, 14.90 , 52.87 , 7.53 , 1.73 , 20.81 , -   , -   , 2.14 , 11.17 , 44.09 , 2.36 , 0.28 , 11.80 , -   , -   , 0.39 , 19.52 , 61.86 , 15.65 , 5.14 , 30.79 , -   , -   , 6.51 
E14001107,Blyth and Ashington,North East, 17.41 , 53.51 , 3.19 , 4.91 , 20.97 , -   , -   , -   , 12.39 , 44.23 , 0.80 , 1.17 , 12.52 , -   , -   , -   , 22.21 , 62.40 , 7.44 , 11.51 , 30.85 , -   , -   , -   
E14001108,Bognor Regis and Littlehampton,South East, 33.88 , 40.30 , 7.51 , 6.29 , 9.79 , -   , -   , 2.23 , 27.17 , 31.48 , 2.73 , 1.20 , 4.44 , -   , -   , 0.46 , 41.72 , 49.58 , 15.26 , 15.71 , 17.08 , -   , -   , 6.25 
E14001109,Bolsover,East Midlands, 20.10 , 55.01 , 2.34 , 3.10 , 19.45 , -   , -   , -   , 15.39 , 45.24 , 0.52 , 0.48 , 11.35 , -   , -   , -   , 25.58 , 64.40 , 6.11 , 9.32 , 30.20 , -   , -   , -   
E14001110,Bolton North East,North West, 25.56 , 54.67 , 3.86 , 1.82 , 11.70 , -   , -   , 2.39 , 20.18 , 45.82 , 1.08 , 0.24 , 5.83 , -   , -   , 0.55 , 30.75 , 63.30 , 9.48 , 6.48 , 20.56 , -   , -   , 5.83 
E14001111,Bolton South and Walkden,North West, 16.24 , 51.75 , 7.73 , 7.95 , 12.29 , -   , -   , 4.05 , 12.32 , 42.65 , 3.17 , 2.40 , 6.02 , -   , -   , 1.16 , 20.86 , 60.95 , 14.98 , 16.16 , 20.49 , -   , -   , 9.89 
E14001112,Bolton West,North West, 24.42 , 49.37 , 2.97 , 2.84 , 18.28 , -   , -   , 2.13 , 18.39 , 40.02 , 0.71 , 0.39 , 10.07 , -   , -   , 0.51 , 30.60 , 58.48 , 7.56 , 8.47 , 29.16 , -   , -   , 6.04 
E14001113,Bootle,North West, 3.56 , 71.10 , 4.40 , 7.66 , 7.27 , -   , -   , 6.00 , 2.44 , 59.97 , 1.18 , 2.05 , 3.08 , -   , -   , 1.36 , 5.00 , 80.82 , 10.33 , 17.35 , 13.57 , -   , -   , 14.32 
E14001114,Boston and Skegness,East Midlands, 32.82 , 27.37 , 4.34 , 2.25 , 31.52 , -   , -   , 1.71 , 26.61 , 22.08 , 1.93 , 0.73 , 23.38 , -   , -   , 0.53 , 39.80 , 33.39 , 7.77 , 4.96 , 40.33 , -   , -   , 3.87 
E14001115,Bournemouth East,South West, 23.29 , 39.26 , 5.45 , 11.42 , 17.91 , -   , -   , 2.66 , 18.27 , 29.84 , 1.63 , 3.83 , 9.98 , -   , -   , 0.61 , 28.93 , 48.53 , 11.83 , 22.86 , 27.74 , -   , -   , 6.87 
E14001116,Bournemouth West,South West, 24.92 , 41.28 , 7.89 , 6.42 , 17.53 , -   , -   , 1.97 , 19.37 , 31.43 , 2.46 , 1.45 , 10.08 , -   , -   , 0.44 , 31.02 , 51.25 , 16.28 , 16.24 , 27.44 , -   , -   , 5.14 
E14001117,Bracknell,South East, 31.91 , 38.23 , 9.31 , 2.82 , 15.16 , -   , -   , 2.57 , 25.16 , 29.13 , 3.45 , 0.42 , 7.87 , -   , -   , 0.53 , 38.92 , 47.00 , 17.63 , 8.71 , 24.49 , -   , -   , 7.50 
E14001118,Bradford East,Yorkshire and The Humber, 9.60 , 44.08 , 10.46 , 17.31 , 8.59 , -   , -   , 9.96 , 6.68 , 30.99 , 4.19 , 6.86 , 4.10 , -   , -   , 2.57 , 13.33 , 56.58 , 20.15 , 31.63 , 14.63 , -   , -   , 23.08 
E14001119,Bradford South,Yorkshire and The Humber, 15.34 , 52.95 , 2.69 , 4.55 , 16.96 , -   , -   , 7.50 , 11.27 , 42.55 , 0.65 , 0.91 , 9.11 , -   , -   , 1.95 , 19.90 , 63.12 , 6.88 , 11.38 , 27.81 , -   , -   , 17.82 
E14001120,Bradford West,Yorkshire and The Humber, 7.06 , 58.69 , 2.42 , 6.95 , 6.39 , -   , -   , 18.49 , 4.83 , 45.77 , 0.70 , 1.85 , 2.83 , -   , -   , 7.45 , 9.90 , 71.16 , 5.96 , 15.91 , 12.30 , -   , -   , 32.95 
E14001121,Braintree,East of England, 36.61 , 34.19 , 4.81 , 0.81 , 22.01 , -   , -   , 1.57 , 29.70 , 26.77 , 1.45 , 0.10 , 13.37 , -   , -   , 0.32 , 43.55 , 42.09 , 10.60 , 2.72 , 32.88 , -   , -   , 4.35 
E14001122,Brent East,London, 13.16 , 44.42 , 15.78 , 12.05 , 8.92 , -   , -   , 5.67 , 9.63 , 32.50 , 6.07 , 3.50 , 4.22 , -   , -   , 1.44 , 17.29 , 57.61 , 29.66 , 25.55 , 16.16 , -   , -   , 13.05 
E14001123,Brent West,London, 20.07 , 48.64 , 9.99 , 6.66 , 7.70 , -   , -   , 6.95 , 15.02 , 37.94 , 3.44 , 1.91 , 3.14 , -   , -   , 1.75 , 25.62 , 58.84 , 19.01 , 15.91 , 15.00 , -   , -   , 16.49 
E14001124,Brentford and Isleworth,London, 16.63 , 43.38 , 15.80 , 4.67 , 10.94 , -   , -   , 8.57 , 12.29 , 33.09 , 7.78 , 1.26 , 5.63 , -   , -   , 3.01 , 21.19 , 53.08 , 26.20 , 10.64 , 18.38 , -   , -   , 18.26 
E14001125,Brentwood and Ongar,East of England, 37.59 , 23.49 , 13.65 , 9.27 , 14.88 , -   , -   , 1.12 , 28.95 , 16.71 , 6.33 , 2.53 , 7.04 , -   , -   , 0.20 , 46.90 , 31.00 , 24.14 , 20.27 , 25.42 , -   , -   , 3.39 
E14001126,Bridgwater,South West, 26.13 , 31.32 , 24.34 , 2.86 , 13.75 , -   , -   , 1.60 , 19.66 , 22.09 , 12.37 , 0.39 , 6.37 , -   , -   , 0.28 , 33.62 , 41.60 , 38.25 , 8.83 , 23.64 , -   , -   , 4.71 
E14001127,Bridlington and The Wolds,Yorkshire and The Humber, 32.99 , 35.42 , 5.86 , 7.17 , 16.68 , -   , -   , 1.89 , 25.19 , 26.18 , 1.63 , 1.65 , 8.42 , -   , -   , 0.31 , 40.12 , 45.73 , 14.23 , 17.57 , 27.72 , -   , -   , 5.81 
E14001128,Brigg and Immingham,Yorkshire and The Humber, 31.69 , 36.15 , 5.47 , 6.14 , 20.55 , -   , -   , -   , 24.11 , 26.30 , 1.36 , 0.99 , 11.30 , -   , -   , -   , 39.34 , 45.68 , 13.58 , 17.13 , 33.41 , -   , -   , -   
E14001129,Brighton Kemptown and Peacehaven,South East, 20.45 , 60.68 , 4.15 , 10.71 , -   , -   , -   , 4.00 , 15.76 , 50.52 , 1.21 , 4.17 , -   , -   , -   , 0.87 , 26.10 , 69.88 , 9.95 , 20.06 , -   , -   , -   , 10.21 
E14001130,Brighton Pavilion,South East, 13.77 , 34.32 , 0.88 , 43.76 , 5.79 , -   , -   , 1.48 , 7.19 , 22.78 , 0.02 , 28.92 , 1.64 , -   , -   , 0.02 , 21.91 , 47.18 , 3.42 , 58.26 , 12.38 , -   , -   , 6.48 
E14001131,Bristol Central,South West, 10.71 , 45.85 , 0.49 , 35.43 , 5.34 , -   , -   , 2.18 , 6.46 , 32.02 , 0.03 , 20.62 , 1.46 , -   , -   , 0.28 , 16.20 , 59.83 , 1.81 , 51.48 , 12.14 , -   , -   , 7.08 
E14001132,Bristol East,South West, 14.75 , 71.83 , 4.90 , 5.01 , -   , -   , -   , 3.51 , 10.56 , 59.92 , 1.47 , 0.95 , -   , -   , -   , 0.63 , 20.11 , 80.29 , 11.45 , 13.35 , -   , -   , -   , 10.08 
E14001133,Bristol North East,South West, 19.79 , 48.32 , 3.53 , 9.42 , 15.61 , -   , -   , 3.32 , 15.09 , 38.71 , 0.80 , 3.60 , 7.83 , -   , -   , 0.86 , 24.93 , 57.62 , 8.75 , 18.32 , 25.61 , -   , -   , 8.35 
E14001134,Bristol North West,South West, 19.22 , 54.22 , 6.95 , 10.02 , 7.91 , -   , -   , 1.67 , 14.91 , 43.93 , 2.13 , 3.37 , 3.95 , -   , -   , 0.32 , 23.62 , 64.23 , 15.56 , 20.14 , 13.59 , -   , -   , 4.82 
E14001135,Bristol South,South West, 15.70 , 58.12 , 4.74 , 9.54 , 9.48 , -   , -   , 2.41 , 11.72 , 46.62 , 1.14 , 2.29 , 4.53 , -   , -   , 0.37 , 19.94 , 68.46 , 11.71 , 22.27 , 16.56 , -   , -   , 7.40 
E14001136,Broadland and Fakenham,East of England, 34.70 , 34.03 , 9.70 , 8.62 , 12.95 , -   , -   , -   , 27.80 , 24.94 , 3.46 , 2.56 , 6.63 , -   , -   , -   , 41.60 , 42.91 , 18.82 , 18.59 , 21.50 , -   , -   , -   
E14001137,Bromley and Biggin Hill,London, 29.13 , 43.08 , 7.33 , 3.04 , 15.47 , -   , -   , 1.94 , 22.53 , 33.98 , 2.67 , 0.37 , 8.00 , -   , -   , 0.41 , 35.61 , 52.44 , 15.09 , 9.57 , 25.48 , -   , -   , 5.83 
E14001138,Bromsgrove,West Midlands, 34.26 , 40.91 , 8.45 , 2.81 , 12.22 , -   , -   , 1.36 , 27.35 , 32.39 , 3.03 , 0.44 , 6.18 , -   , -   , 0.24 , 41.23 , 49.34 , 16.86 , 7.73 , 20.94 , -   , -   , 4.23 
E14001139,Broxbourne,East of England, 32.90 , 31.52 , 4.95 , 6.59 , 21.92 , -   , -   , 2.13 , 25.02 , 22.62 , 1.18 , 1.28 , 11.50 , -   , -   , 0.46 , 41.20 , 40.87 , 11.44 , 17.01 , 33.56 , -   , -   , 5.74 
E14001140,Broxtowe,East Midlands, 24.67 , 46.97 , 0.24 , 4.94 , 19.62 , -   , -   , 3.56 , 19.10 , 38.08 , 0.04 , 0.96 , 11.57 , -   , -   , 0.87 , 30.34 , 55.79 , 0.64 , 13.27 , 30.02 , -   , -   , 8.85 
E14001141,Buckingham and Bletchley,South East, 29.60 , 41.11 , 9.85 , 1.36 , 15.95 , -   , -   , 2.13 , 23.53 , 32.11 , 3.66 , 0.15 , 8.69 , -   , -   , 0.43 , 36.61 , 49.86 , 19.12 , 4.30 , 25.73 , -   , -   , 5.65 
E14001142,Burnley,North West, 18.37 , 42.33 , 8.30 , 3.35 , 22.63 , -   , -   , 5.01 , 12.89 , 32.15 , 2.79 , 0.54 , 13.32 , -   , -   , 1.18 , 24.01 , 52.58 , 17.16 , 9.57 , 33.84 , -   , -   , 12.65 
E14001143,Burton and Uttoxeter,West Midlands, 29.21 , 40.67 , 6.13 , 11.76 , 10.00 , -   , -   , 2.24 , 23.31 , 31.98 , 2.14 , 4.65 , 4.83 , -   , -   , 0.46 , 35.72 , 50.21 , 12.29 , 22.29 , 17.20 , -   , -   , 5.92 
E14001144,Bury North,North West, 25.48 , 52.78 , 2.08 , 2.81 , 11.52 , -   , -   , 5.33 , 20.45 , 43.29 , 0.54 , 0.51 , 5.92 , -   , -   , 1.35 , 31.00 , 61.47 , 5.31 , 7.98 , 18.84 , -   , -   , 12.41 
E14001145,Bury South,North West, 22.52 , 56.99 , 2.70 , 4.09 , 11.50 , -   , -   , 2.20 , 17.99 , 48.38 , 0.69 , 0.88 , 6.47 , -   , -   , 0.50 , 27.37 , 65.49 , 6.30 , 11.06 , 18.50 , -   , -   , 5.97 
E14001146,Bury St Edmunds and Stowmarket,East of England, 29.34 , 27.62 , 1.38 , 20.60 , 18.09 , -   , -   , 2.96 , 22.05 , 19.16 , 0.30 , 10.86 , 9.95 , -   , -   , 0.58 , 36.53 , 36.99 , 3.83 , 31.18 , 28.78 , -   , -   , 8.74 
E14001147,Calder Valley,Yorkshire and The Humber, 31.08 , 54.33 , 2.90 , 0.17 , 9.84 , -   , -   , 1.67 , 24.77 , 46.43 , 0.79 , 0.01 , 4.40 , -   , -   , 0.32 , 37.58 , 62.43 , 7.07 , 0.80 , 17.53 , -   , -   , 4.93 
E14001148,Camborne and Redruth,South West, 22.91 , 53.05 , 6.49 , 1.30 , 14.68 , -   , -   , 1.57 , 17.25 , 43.94 , 2.45 , 0.18 , 7.79 , -   , -   , 0.36 , 28.49 , 61.53 , 13.64 , 3.97 , 24.02 , -   , -   , 4.44 
E14001149,Cambridge,East of England, 9.85 , 52.25 , 18.60 , 13.52 , -   , -   , -   , 5.79 , 6.15 , 39.67 , 7.97 , 5.16 , -   , -   , -   , 1.19 , 14.18 , 64.66 , 32.21 , 26.69 , -   , -   , -   , 14.58 
E14001150,Cannock Chase,West Midlands, 30.52 , 42.90 , 0.06 , 7.81 , 18.71 , -   , -   , -   , 22.91 , 32.82 , 0.01 , 1.84 , 8.86 , -   , -   , -   , 39.20 , 53.10 , 0.20 , 18.45 , 30.67 , -   , -   , -   
E14001151,Canterbury,South East, 26.87 , 59.13 , 4.33 , 0.17 , 8.16 , -   , -   , 1.35 , 21.01 , 50.59 , 1.12 , 0.01 , 3.51 , -   , -   , 0.22 , 32.98 , 66.92 , 10.84 , 0.73 , 15.49 , -   , -   , 3.80 
E14001152,Carlisle,North West, 25.77 , 44.35 , 10.99 , 3.71 , 13.31 , -   , -   , 1.88 , 20.22 , 33.99 , 4.35 , 0.65 , 6.39 , -   , -   , 0.38 , 32.24 , 54.02 , 20.38 , 9.21 , 22.85 , -   , -   , 4.98 
E14001153,Carshalton and Wallington,London, 22.23 , 22.55 , 35.07 , 8.55 , 9.03 , -   , -   , 2.58 , 15.21 , 12.90 , 18.70 , 2.00 , 4.17 , -   , -   , 0.51 , 29.80 , 35.55 , 53.05 , 21.59 , 16.54 , -   , -   , 7.04 
E14001154,Castle Point,East of England, 34.06 , 39.72 , 4.82 , 0.00 , 21.39 , -   , -   , -   , 24.93 , 29.81 , 0.94 , -   , 10.49 , -   , -   , -   , 43.67 , 50.93 , 12.50 , 0.03 , 36.69 , -   , -   , -   
E14001155,Central Devon,South West, 26.44 , 31.61 , 12.56 , 9.47 , 18.81 , -   , -   , 1.11 , 19.11 , 23.05 , 5.52 , 3.25 , 10.33 , -   , -   , 0.19 , 33.59 , 39.74 , 22.79 , 19.03 , 29.66 , -   , -   , 3.55 
E14001156,Central Suffolk and North Ipswich,East of England, 28.76 , 36.14 , 6.31 , 7.79 , 17.92 , -   , -   , 3.08 , 21.63 , 26.48 , 2.02 , 2.02 , 9.75 , -   , -   , 0.60 , 35.47 , 45.83 , 13.69 , 17.73 , 29.47 , -   , -   , 9.02 
E14001157,Chatham and Aylesford,South East, 30.94 , 34.99 , 4.69 , 3.15 , 24.29 , -   , -   , 1.94 , 24.31 , 26.75 , 1.44 , 0.60 , 14.37 , -   , -   , 0.30 , 38.36 , 43.45 , 10.21 , 7.96 , 35.39 , -   , -   , 5.50 
E14001158,Cheadle,North West, 19.08 , 19.49 , 52.62 , 0.32 , 7.28 , -   , -   , 1.21 , 13.77 , 11.96 , 39.83 , 0.02 , 3.32 , -   , -   , 0.21 , 25.36 , 28.16 , 65.46 , 1.40 , 12.64 , -   , -   , 3.58 
E14001159,Chelmsford,East of England, 33.97 , 32.04 , 19.78 , 0.91 , 10.80 , -   , -   , 2.50 , 27.31 , 22.50 , 10.62 , 0.11 , 5.39 , -   , -   , 0.48 , 40.91 , 41.16 , 31.08 , 3.23 , 18.14 , -   , -   , 6.63 
E14001160,Chelsea and Fulham,London, 36.96 , 35.63 , 13.30 , 1.67 , 10.89 , -   , -   , 1.55 , 28.82 , 26.34 , 5.28 , 0.21 , 4.81 , -   , -   , 0.27 , 44.54 , 44.78 , 23.56 , 5.91 , 19.47 , -   , -   , 4.49 
E14001161,Cheltenham,South West, 29.57 , 11.96 , 55.60 , 1.82 , -   , -   , -   , 1.06 , 20.80 , 6.53 , 40.83 , 0.25 , -   , -   , -   , 0.15 , 39.06 , 19.34 , 68.48 , 5.26 , -   , -   , -   , 3.37 
E14001162,Chesham and Amersham,South East, 25.16 , 17.44 , 43.82 , 5.50 , 6.65 , -   , -   , 1.44 , 18.50 , 11.97 , 33.67 , 1.73 , 3.16 , -   , -   , 0.29 , 31.78 , 23.54 , 54.86 , 11.00 , 11.81 , -   , -   , 4.20 
E14001163,Chester North and Neston,North West, 20.96 , 54.57 , 6.59 , 7.39 , 10.50 , -   , -   , -   , 15.69 , 41.18 , 1.64 , 1.00 , 4.75 , -   , -   , -   , 26.74 , 65.26 , 14.61 , 19.93 , 19.15 , -   , -   , -   
E14001164,Chester South and Eddisbury,North West, 28.19 , 46.20 , 11.12 , 2.39 , 10.85 , -   , -   , 1.25 , 21.94 , 35.54 , 4.09 , 0.27 , 4.78 , -   , -   , 0.26 , 34.56 , 56.60 , 23.52 , 7.48 , 20.01 , -   , -   , 3.41 
E14001165,Chesterfield,East Midlands, 16.09 , 56.42 , 8.23 , 2.97 , 13.84 , -   , -   , 2.45 , 12.26 , 45.84 , 3.09 , 0.54 , 6.74 , -   , -   , 0.43 , 20.55 , 65.52 , 15.83 , 8.39 , 22.95 , -   , -   , 6.77 
E14001166,Chichester,South East, 28.24 , 19.82 , 37.11 , 2.11 , 12.05 , -   , -   , 0.68 , 22.85 , 14.54 , 29.46 , 0.65 , 7.21 , -   , -   , 0.15 , 33.80 , 25.37 , 45.44 , 4.38 , 18.56 , -   , -   , 1.78 
E14001167,Chingford and Woodford Green,London, 31.58 , 51.87 , 2.38 , 0.42 , 11.26 , -   , -   , 2.48 , 25.27 , 43.33 , 0.59 , 0.03 , 5.40 , -   , -   , 0.47 , 38.48 , 60.01 , 6.14 , 1.45 , 19.28 , -   , -   , 7.19 
E14001168,Chippenham,South West, 26.28 , 19.25 , 31.22 , 5.21 , 17.15 , -   , -   , 0.89 , 19.31 , 12.45 , 18.50 , 1.10 , 8.38 , -   , -   , 0.16 , 33.37 , 27.12 , 44.74 , 12.05 , 26.99 , -   , -   , 2.56 
E14001169,Chipping Barnet,London, 31.03 , 48.96 , 5.48 , 5.37 , 6.47 , -   , -   , 2.68 , 25.70 , 39.99 , 1.65 , 1.39 , 3.14 , -   , -   , 0.53 , 37.18 , 57.33 , 12.16 , 12.47 , 11.25 , -   , -   , 7.36 
E14001063,Chorley,North West, -,0, -, 11.0, -, -,-, 89.0
E14001171,Christchurch,South West, 27.76 , 25.86 , 18.81 , 3.91 , 20.06 , -   , -   , 3.60 , 19.75 , 16.67 , 6.95 , 0.47 , 10.46 , -   , -   , 0.84 , 36.68 , 37.23 , 34.12 , 12.23 , 32.69 , -   , -   , 10.37 
E14001172,Cities of London and Westminster,London, 29.20 , 31.30 , 18.61 , 8.46 , 8.90 , -   , -   , 3.54 , 18.97 , 17.53 , 4.70 , 0.66 , 3.17 , -   , -   , 0.45 , 39.45 , 45.44 , 40.98 , 33.62 , 20.04 , -   , -   , 11.35 
E14001173,City of Durham,North East, 14.83 , 55.66 , 8.42 , 5.11 , 14.18 , -   , -   , 1.80 , 10.71 , 44.87 , 2.70 , 1.11 , 7.23 , -   , -   , 0.33 , 19.36 , 65.55 , 17.72 , 12.41 , 23.54 , -   , -   , 5.28 
E14001174,Clacton,East of England, 24.91 , 27.27 , 4.05 , 5.29 , 35.69 , -   , -   , 2.78 , 20.51 , 22.29 , 2.16 , 2.98 , 29.07 , -   , -   , 1.11 , 29.91 , 32.04 , 6.78 , 8.18 , 42.12 , -   , -   , 5.27 
E14001175,Clapham and Brixton Hill,London, 13.68 , 48.95 , 13.24 , 9.22 , 6.53 , -   , -   , 8.38 , 9.71 , 35.26 , 4.43 , 2.02 , 2.57 , -   , -   , 2.21 , 18.27 , 61.95 , 26.41 , 21.99 , 12.92 , -   , -   , 20.61 
E14001176,Colchester,East of England, 28.70 , 41.41 , 13.10 , 4.22 , 10.70 , -   , -   , 1.86 , 23.47 , 32.53 , 5.43 , 0.88 , 5.80 , -   , -   , 0.40 , 34.59 , 50.31 , 23.79 , 10.13 , 17.63 , -   , -   , 5.28 
E14001177,Colne Valley,Yorkshire and The Humber, 26.32 , 51.53 , 2.84 , 3.43 , 14.19 , -   , -   , 1.69 , 20.07 , 42.46 , 0.75 , 0.52 , 7.65 , -   , -   , 0.35 , 32.88 , 60.10 , 6.91 , 10.03 , 23.61 , -   , -   , 4.79 
E14001178,Congleton,North West, 30.19 , 44.17 , 8.34 , 4.10 , 11.21 , -   , -   , 1.98 , 23.65 , 34.44 , 3.03 , 0.64 , 5.48 , -   , -   , 0.37 , 38.11 , 53.10 , 17.05 , 11.58 , 20.39 , -   , -   , 5.75 
E14001179,Corby and East Northamptonshire,East Midlands, 28.42 , 51.09 , 3.81 , 0.54 , 14.02 , -   , -   , 2.12 , 22.18 , 42.09 , 0.92 , 0.06 , 6.45 , -   , -   , 0.42 , 34.98 , 60.38 , 10.11 , 2.30 , 23.18 , -   , -   , 6.11 
E14001180,Coventry East,West Midlands, 18.05 , 53.71 , 4.19 , 7.46 , 10.22 , -   , -   , 6.38 , 13.41 , 43.63 , 1.20 , 2.75 , 5.41 , -   , -   , 2.25 , 22.65 , 63.26 , 9.44 , 14.39 , 17.35 , -   , -   , 14.68 
E14001181,Coventry North West,West Midlands, 21.04 , 53.67 , 7.81 , 4.09 , 10.20 , -   , -   , 3.18 , 16.09 , 43.54 , 2.56 , 0.90 , 4.49 , -   , -   , 0.73 , 26.79 , 63.74 , 15.98 , 11.09 , 19.10 , -   , -   , 8.46 
E14001182,Coventry South,West Midlands, 20.82 , 52.07 , 8.93 , 5.75 , 8.70 , -   , -   , 3.73 , 15.85 , 42.93 , 3.72 , 1.58 , 4.10 , -   , -   , 0.89 , 26.12 , 61.69 , 18.20 , 13.31 , 15.10 , -   , -   , 9.41 
E14001183,Cramlington and Killingworth,North East, 14.80 , 51.80 , 4.98 , 12.17 , 13.11 , -   , -   , 3.12 , 10.47 , 39.34 , 1.44 , 3.88 , 6.01 , -   , -   , 0.67 , 19.21 , 63.29 , 12.19 , 24.74 , 22.71 , -   , -   , 9.02 
E14001184,Crawley,South East, 29.91 , 45.95 , 5.28 , 5.44 , 9.30 , -   , -   , 4.13 , 24.01 , 36.95 , 1.53 , 1.43 , 4.13 , -   , -   , 1.15 , 36.15 , 54.62 , 11.14 , 12.08 , 16.75 , -   , -   , 10.44 
E14001185,Crewe and Nantwich,North West, 27.83 , 55.47 , 3.29 , 2.01 , 9.17 , -   , -   , 2.23 , 21.07 , 46.51 , 0.82 , 0.25 , 4.19 , -   , -   , 0.44 , 34.06 , 64.58 , 9.20 , 7.35 , 16.22 , -   , -   , 6.51 
E14001186,Croydon East,London, 23.13 , 51.31 , 5.96 , 5.68 , 13.92 , -   , -   , -   , 18.01 , 41.17 , 1.71 , 1.44 , 7.28 , -   , -   , -   , 28.43 , 60.54 , 12.70 , 14.07 , 23.20 , -   , -   , -   
E14001187,Croydon South,London, 29.76 , 46.19 , 6.19 , 5.62 , 7.69 , -   , -   , 4.54 , 23.50 , 36.69 , 1.74 , 1.10 , 3.24 , -   , -   , 0.91 , 36.14 , 55.56 , 14.11 , 15.31 , 14.25 , -   , -   , 13.26 
E14001188,Croydon West,London, 15.42 , 52.91 , 10.32 , 5.23 , 8.66 , -   , -   , 7.46 , 11.38 , 41.90 , 4.43 , 1.23 , 4.18 , -   , -   , 2.24 , 19.61 , 63.33 , 19.97 , 11.68 , 15.25 , -   , -   , 16.34 
E14001189,Dagenham and Rainham,London, 19.51 , 53.26 , 3.51 , 5.78 , 12.38 , -   , -   , 5.55 , 14.52 , 42.00 , 0.96 , 1.47 , 6.12 , -   , -   , 1.22 , 25.16 , 62.91 , 8.82 , 13.40 , 21.24 , -   , -   , 14.33 
E14001190,Darlington,North East, 24.40 , 48.31 , 2.34 , 8.82 , 16.14 , -   , -   , -   , 17.80 , 38.24 , 0.50 , 1.76 , 8.22 , -   , -   , -   , 31.48 , 58.13 , 5.89 , 20.17 , 27.49 , -   , -   , -   
E14001191,Dartford,South East, 35.96 , 39.71 , 7.27 , 5.67 , 11.40 , -   , -   , -   , 29.12 , 31.73 , 2.71 , 1.77 , 5.70 , -   , -   , -   , 43.53 , 47.89 , 14.57 , 11.88 , 19.13 , -   , -   , -   
E14001192,Daventry,East Midlands, 31.49 , 33.31 , 7.05 , 6.18 , 21.98 , -   , -   , -   , 24.02 , 24.24 , 2.05 , 1.27 , 12.40 , -   , -   , -   , 38.93 , 42.23 , 15.78 , 15.30 , 32.64 , -   , -   , -   
E14001193,Derby North,East Midlands, 24.18 , 49.62 , 4.37 , 3.35 , 18.48 , -   , -   , -   , 17.65 , 40.40 , 1.14 , 0.55 , 9.69 , -   , -   , -   , 30.59 , 59.07 , 11.68 , 9.45 , 29.48 , -   , -   , -   
E14001194,Derby South,East Midlands, 13.48 , 48.38 , 5.16 , 2.70 , 19.47 , -   , -   , 10.81 , 9.61 , 38.60 , 1.69 , 0.59 , 10.44 , -   , -   , 4.04 , 17.84 , 57.71 , 11.43 , 6.83 , 29.38 , -   , -   , 21.68 
E14001195,Derbyshire Dales,East Midlands, 31.10 , 40.32 , 9.74 , 6.01 , 11.78 , -   , -   , 1.04 , 24.17 , 31.00 , 3.34 , 1.21 , 5.61 , -   , -   , 0.20 , 37.41 , 49.19 , 19.58 , 14.75 , 20.50 , -   , -   , 3.32 
