2019 MP + Result,Constituency + Forecast,,,Code,Region,,CON,LAB,LDM,RFM,GRN,SNP,PLC,OTH,Tot,,Maj,Maj,,21.0%,40.9%,11.5%,15.9%,6.1%,3.5%,1.1%,,Result,,GE2019 RESULTS,,,,,,,,Tot,Vote Share Change,,,,,,,
Chris Heaton-Harris,CON,CON,Daventry,E14001192,East Midlands,,31.3%,27.9%,11.3%,21.7%,7.7%,,,0.2%,CON,C,3.4%,"1,948",,"17,815","15,867","6,427","12,345","4,359",0,132,,CON HOLD,,64.5%,17.8%,13.1%,0.0%,4.6%,0.0%,0.0%,0.0%,CON,-33.8%,+10.1%,-1.4%,+21.7%,+3.3%,,,+0.2%
Amanda Solloway,CON,LAB,Derby North,E14001193,East Midlands,,19.4%,50.5%,5.4%,19.1%,5.3%,,,0.3%,LAB,,31.1%,"14,609",,"9,120","23,729","2,525","9,001","2,514",0,118,,LAB GAIN,x,45.2%,39.8%,7.3%,4.1%,2.2%,0.0%,0.0%,1.4%,CON,-26.0%,+10.9%,-1.7%,+14.7%,+3.3%,,,-1.1%
Margaret Beckett,LAB,LAB,Derby South,E14001194,East Midlands,,10.0%,54.0%,5.1%,24.1%,5.4%,,,1.4%,LAB,,29.9%,"12,696",,"4,241","22,926","2,166","10,229","2,306",0,580,,LAB HOLD,,36.9%,51.1%,6.2%,5.8%,0.0%,0.0%,0.0%,0.0%,LAB,-27.1%,+3.1%,-0.8%,+17.9%,+5.6%,,,+1.3%
Sarah Dines,CON,LAB,Derbyshire Dales,E14001195,East Midlands,,31.1%,35.5%,9.7%,15.6%,7.2%,,,1.0%,LAB,,4.4%,"2,368",,"16,765","19,134","5,224","8,405","3,866",0,539,,LAB GAIN,,59.0%,24.2%,12.8%,0.0%,4.1%,0.0%,0.0%,0.0%,CON,-31.8%,+10.8%,-2.9%,+20.7%,+2.9%,,,+0.3%
Unknown (changed seat),LAB,LAB,Dewsbury and Batley,E14001196,Yorkshire and the Humber,,9.7%,59.7%,4.0%,17.0%,6.1%,,,3.4%,LAB,,42.7%,"19,686",,"4,468","27,522","1,843","7,836","2,819",0,"1,580",,LAB HOLD,,28.7%,59.1%,2.5%,3.4%,1.1%,0.0%,0.0%,5.2%,LAB,-19.1%,+0.1%,+1.8%,+13.6%,+5.4%,,,-1.9%
David Johnston,CON,LDM,Didcot and Wantage,E14001197,South East,,20.8%,20.4%,37.8%,16.4%,3.9%,,,0.6%,LDM,,17.0%,"9,255",,"11,308","11,074","20,563","8,923","2,147",0,338,,LDM GAIN,,49.8%,16.0%,31.3%,0.0%,0.7%,0.0%,0.0%,2.2%,CON,-29.4%,+4.3%,+7.3%,+16.0%,+3.3%,,,-1.6%
Rosie Winterton,LAB,LAB,Doncaster Central,E14001198,Yorkshire and the Humber,,14.8%,48.3%,4.2%,26.4%,5.1%,,,1.1%,LAB,,21.9%,"10,068",,"6,806","22,249","1,956","12,180","2,334",0,529,,LAB HOLD,x,36.6%,39.4%,4.1%,15.6%,2.3%,0.0%,0.0%,2.1%,LAB,-22.1%,+9.1%,+0.4%,+10.5%,+3.0%,,,-1.0%
Nick Fletcher,CON,LAB,Doncaster East and the Isle of Axholme,E14001199,Yorkshire and the Humber,,25.0%,38.9%,3.7%,27.3%,4.5%,,,0.5%,LAB,,11.6%,"4,979",,"10,754","16,746","1,600","11,767","1,958",0,225,,LAB GAIN,,52.1%,28.7%,4.4%,10.3%,2.4%,0.0%,0.0%,2.0%,CON,-27.4%,+10.4%,-0.5%,+16.7%,+2.3%,,,-1.5%
Ed Miliband,LAB,LAB,Doncaster North,E14001200,Yorkshire and the Humber,,25.0%,56.5%,6.4%,,6.8%,,,5.3%,LAB,,31.5%,"12,640",,"10,027","22,667","2,562",0,"2,718",0,"2,128",,LAB HOLD,x,33.2%,38.3%,3.6%,20.3%,0.0%,0.0%,0.0%,4.5%,LAB,-8.6%,+18.3%,+3.0%,-20.3%,+6.9%,,,+0.7%
Paul Beresford,CON,LDM,Dorking and Horley,E14001201,South East,,22.8%,12.8%,42.1%,16.2%,5.7%,,,0.4%,LDM,,19.3%,"10,504",,"12,449","6,955","22,953","8,837","3,087",0,215,,LDM GAIN,,51.2%,9.9%,32.1%,0.0%,4.2%,0.0%,0.0%,2.6%,CON,-28.7%,+2.8%,+10.7%,+15.8%,+1.6%,,,-2.2%
Natalie Elphicke,CON,LAB,Dover and Deal,E14001202,South East,,25.2%,44.4%,4.6%,20.2%,5.1%,,,0.5%,LAB,,19.2%,"9,838",,"12,890","22,728","2,362","10,331","2,617",0,273,,LAB GAIN,,56.9%,32.6%,5.7%,0.0%,2.7%,0.0%,0.0%,2.1%,CON,-31.9%,+12.0%,-0.9%,+19.8%,+2.5%,,,-1.5%
Nigel Huddleston,CON,CON,Droitwich and Evesham,E14001203,West Midlands,,34.4%,26.5%,11.7%,20.5%,6.5%,,,0.4%,CON,,7.9%,"4,134",,"18,123","13,989","6,161","10,789","3,448",0,201,,CON HOLD,,65.7%,17.1%,12.0%,0.0%,4.0%,0.0%,0.0%,1.2%,CON,-31.6%,+9.2%,+0.7%,+19.9%,+2.7%,,,-0.8%
Marco Longhi,CON,LAB,Dudley,E14001204,West Midlands,,30.3%,41.0%,3.4%,20.7%,4.1%,,,0.5%,LAB,,10.7%,"4,516",,"12,789","17,305","1,432","8,760","1,736",0,201,,LAB GAIN,,63.2%,30.9%,3.8%,0.0%,2.1%,0.0%,0.0%,0.0%,CON,-33.1%,+10.4%,-0.2%,+20.3%,+2.1%,,,+0.5%
Helen Hayes,LAB,LAB,Dulwich and West Norwood,E14001205,Greater London,,7.1%,60.9%,2.6%,4.8%,23.6%,,,0.9%,LAB,,37.3%,"19,455",,"3,721","31,770","1,375","2,525","12,315",0,463,,LAB HOLD,,16.6%,64.5%,1.0%,1.1%,16.2%,0.0%,0.0%,0.6%,LAB,-9.6%,-3.6%,+1.8%,+3.6%,+7.6%,,,+0.3%
Andrew Selous,CON,LAB,Dunstable and Leighton Buzzard,E14001206,East of England,,28.0%,36.1%,9.7%,19.2%,6.7%,,,0.3%,LAB,,8.1%,"3,942",,"13,501","17,443","4,679","9,264","3,247",0,159,,LAB GAIN,,58.7%,26.8%,10.8%,0.0%,3.7%,0.0%,0.0%,0.0%,CON,-30.4%,+8.7%,-0.2%,+18.3%,+3.3%,,,+0.3%
Rupa Huq,LAB,LAB,Ealing Central and Acton,E14001207,Greater London,,13.6%,57.3%,11.0%,8.3%,9.0%,,,0.7%,LAB,,43.7%,"23,169",,"7,226","30,395","5,820","4,383","4,797",0,384,,LAB HOLD,,25.6%,52.3%,17.4%,1.4%,3.4%,0.0%,0.0%,0.0%,LAB,-12.2%,+5.0%,-6.1%,+6.7%,+5.8%,,,+0.7%
James Murray,LAB,LAB,Ealing North,E14001208,Greater London,,17.2%,59.0%,4.9%,10.5%,7.5%,,,0.8%,LAB,,41.8%,"20,388",,"8,383","28,771","2,407","5,129","3,657",0,407,,LAB HOLD,,31.9%,56.3%,8.8%,0.0%,2.9%,0.0%,0.0%,0.0%,LAB,-14.9%,+2.7%,-3.7%,+10.3%,+4.7%,,,+0.9%
Virendra Sharma,LAB,LAB,Ealing Southall,E14001209,Greater London,,12.6%,62.1%,5.4%,8.6%,9.5%,,,1.9%,LAB,,49.5%,"25,241",,"6,404","31,645","2,733","4,391","4,834",0,976,,LAB HOLD,,23.9%,59.8%,9.8%,1.9%,3.8%,0.0%,0.0%,0.9%,LAB,-11.6%,+2.3%,-4.2%,+6.6%,+5.9%,,,+1.0%
Unknown (new seat),CON,LAB,Earley and Woodley,E14001210,South East,,29.7%,43.0%,19.1%,,6.4%,,,1.7%,LAB,,13.3%,"6,790",,"15,182","21,971","9,766",0,"3,287",0,884,,LAB GAIN,,48.8%,26.7%,21.8%,0.5%,2.2%,0.0%,0.0%,0.0%,CON,-19.6%,+16.4%,-2.3%,-0.5%,+4.3%,,,+1.7%
Grahame Morris,LAB,LAB,Easington,E14001211,North East,,7.4%,55.3%,4.3%,26.9%,4.8%,,,1.3%,LAB,,28.4%,"11,315",,"2,964","22,049","1,694","10,733","1,916",0,499,,LAB HOLD,,27.1%,46.8%,4.1%,18.1%,0.3%,0.0%,0.0%,3.6%,LAB,-19.8%,+8.7%,+0.4%,+8.4%,+4.7%,,,-2.4%
Unknown (new seat),CON,CON,East Grinstead and Uckfield,E14001212,South East,,37.9%,22.4%,25.9%,,9.7%,,,4.1%,CON,,12.0%,"6,904",,"21,711","12,818","14,807",0,"5,570",0,"2,328",,CON HOLD,,58.5%,13.6%,23.0%,0.0%,4.9%,0.0%,0.0%,0.0%,CON,-20.3%,+7.9%,+3.3%,0.0%,+4.8%,,,+4.2%
Stephen Timms,LAB,LAB,East Ham,E14001213,Greater London,,8.2%,73.9%,2.6%,7.2%,5.7%,,,2.4%,LAB,,65.7%,"31,054",,"3,862","34,916","1,221","3,422","2,689",0,"1,111",,LAB HOLD,,14.6%,77.8%,3.6%,2.0%,1.6%,0.0%,0.0%,0.5%,LAB,-6.4%,-4.4%,-0.6%,+5.1%,+4.4%,,,+1.8%
Damian Hinds,CON,CON,East Hampshire,E14001214,South East,,30.8%,16.3%,27.6%,17.6%,7.1%,,,0.6%,CON,,3.2%,"1,700",,"16,652","8,822","14,953","9,527","3,853",0,342,,CON HOLD,,59.0%,12.3%,21.7%,0.0%,5.5%,0.0%,0.0%,1.5%,CON,-28.7%,+3.2%,+7.1%,+17.5%,+1.7%,,,-0.8%
Claire Coutinho,CON,CON,East Surrey,E14001215,South East,,31.4%,19.5%,22.4%,21.3%,4.6%,,,0.7%,CON,C,9.0%,"4,658",,"16,189","10,050","11,531","10,962","2,380",0,381,,CON HOLD,,60.4%,13.2%,20.4%,0.0%,3.0%,0.0%,0.0%,3.1%,CON,-29.4%,+6.5%,+2.6%,+20.8%,+1.8%,,,-2.4%
Craig Mackinlay,CON,LAB,East Thanet,E14001216,South East,,21.5%,47.0%,3.6%,20.3%,7.2%,,,0.4%,LAB,,25.5%,"12,179",,"10,309","22,488","1,733","9,712","3,437",0,211,,LAB GAIN,,53.5%,37.6%,5.2%,0.0%,3.7%,0.0%,0.0%,0.0%,CON,-32.1%,+9.5%,-1.4%,+19.9%,+3.6%,,,+0.5%
Danny Kruger,CON,CON,East Wiltshire,E14001217,South West,,34.1%,27.9%,12.9%,18.3%,6.3%,,,0.5%,CON,,6.2%,"3,040",,"16,710","13,669","6,329","8,942","3,097",0,247,,CON HOLD,,65.9%,15.9%,14.5%,0.0%,3.7%,0.0%,0.0%,0.0%,CON,-32.7%,+12.7%,-1.0%,+17.8%,+2.8%,,,+0.5%
Tim Loughton,CON,LAB,East Worthing and Shoreham,E14001218,South East,,21.4%,49.4%,5.5%,16.1%,7.0%,,,0.6%,LAB,,28.0%,"14,849",,"11,386","26,235","2,922","8,538","3,732",0,316,,LAB GAIN,,51.0%,37.0%,7.8%,0.0%,3.8%,0.0%,0.0%,0.5%,CON,-29.9%,+12.5%,-2.0%,+15.7%,+3.4%,,,+0.1%
Caroline Ansell,CON,LDM,Eastbourne,E14001219,South East,,19.9%,10.5%,48.7%,17.7%,2.6%,,,0.7%,LDM,,28.8%,"14,780",,"10,191","5,380","24,971","9,054","1,314",0,342,,LDM GAIN,x,47.1%,7.0%,42.9%,2.8%,0.0%,0.0%,0.0%,0.4%,CON,-27.4%,+3.6%,+6.4%,+14.4%,+2.7%,,,+0.3%
Paul Holmes,CON,LDM,Eastleigh,E14001220,South East,,23.3%,15.2%,40.7%,16.9%,3.4%,,,0.6%,LDM,,17.4%,"8,603",,"11,548","7,517","20,151","8,350","1,707",0,274,,LDM GAIN,,51.9%,11.7%,34.4%,0.0%,2.0%,0.0%,0.0%,0.0%,CON,-28.9%,+3.5%,+6.9%,+16.4%,+1.5%,,,+0.6%
Kate Osamor,LAB,LAB,Edmonton and Winchmore Hill,E14001221,Greater London,,17.7%,61.4%,4.0%,10.4%,5.7%,,,0.7%,LAB,,43.7%,"21,106",,"8,548","29,654","1,932","5,039","2,754",0,354,,LAB HOLD,,31.1%,58.2%,6.7%,1.8%,2.1%,0.0%,0.0%,0.2%,LAB,-13.5%,+3.3%,-2.5%,+8.4%,+3.8%,,,+0.6%
Justin Madders,LAB,LAB,Ellesmere Port and Bromborough,E14001222,North West,,6.6%,64.3%,5.9%,17.3%,5.3%,,,0.6%,LAB,,47.0%,"21,260",,"3,002","29,087","2,668","7,827","2,396",0,265,,LAB HOLD,,27.1%,59.3%,7.4%,4.3%,1.9%,0.0%,0.0%,0.0%,LAB,-20.5%,+5.0%,-1.2%,+12.5%,+3.5%,,,+0.6%
Unknown (changed seat),CON,LAB,Eltham and Chislehurst,E14001223,Greater London,,28.6%,45.2%,3.8%,15.5%,6.2%,,,0.6%,LAB,,16.6%,"8,512",,"14,611","23,122","1,964","7,933","3,185",0,294,,LAB GAIN,x,46.9%,40.1%,7.5%,2.6%,3.0%,0.0%,0.0%,0.0%,CON,-18.8%,+5.2%,-3.4%,+13.0%,+3.3%,,,+0.6%
Lucy Frazer,CON,LDM,Ely and East Cambridgeshire,E14001224,East of England,,26.3%,19.8%,32.9%,17.0%,3.3%,,,0.7%,LDM,C,6.6%,"3,583",,"14,343","10,785","17,927","9,232","1,794",0,381,,LDM GAIN,,54.0%,14.4%,29.3%,0.0%,0.6%,0.0%,0.0%,1.9%,CON,-27.7%,+5.9%,+3.5%,+16.6%,+2.8%,,,-1.1%
Feryal Clark,LAB,LAB,Enfield North,E14001225,Greater London,,20.9%,55.7%,3.8%,12.5%,6.3%,,,0.7%,LAB,,34.8%,"17,684",,"10,618","28,302","1,918","6,347","3,218",0,377,,LAB HOLD,,35.9%,53.3%,6.5%,1.8%,2.4%,0.0%,0.0%,0.0%,LAB,-15.1%,+1.7%,-2.4%,+10.6%,+4.3%,,,+0.8%
Eleanor Laing,CON,CON,Epping Forest,E14001226,East of England,,41.3%,34.3%,11.3%,,8.7%,,,4.4%,CON,,7.0%,"3,514",,"20,766","17,252","5,692",0,"4,349",0,"2,190",,CON HOLD,,64.4%,20.3%,10.7%,0.0%,3.9%,0.0%,0.0%,0.7%,CON,-23.3%,+14.0%,+0.9%,0.0%,+4.9%,,,+3.5%
Chris Grayling,CON,LDM,Epsom and Ewell,E14001227,South East,,24.7%,20.3%,31.0%,17.9%,5.1%,,,1.0%,LDM,,6.3%,"3,574",,"14,206","11,650","17,779","10,283","2,908",0,576,,LDM GAIN,,53.6%,16.8%,24.2%,0.0%,3.3%,0.0%,0.0%,2.1%,CON,-29.3%,+3.5%,+7.5%,+17.6%,+1.9%,,,-1.1%
Maggie Throup,CON,LAB,Erewash,E14001228,East Midlands,,24.5%,44.1%,4.0%,22.0%,4.8%,,,0.7%,LAB,,19.6%,"9,547",,"11,968","21,515","1,931","10,726","2,339",0,328,,LAB GAIN,,56.5%,34.7%,5.1%,0.0%,2.3%,0.0%,0.0%,1.4%,CON,-32.1%,+9.6%,-0.9%,+21.5%,+2.7%,,,-0.8%
Abena Oppong-Asare,LAB,LAB,Erith and Thamesmead,E14001229,Greater London,,15.7%,60.1%,3.3%,13.4%,6.7%,,,0.9%,LAB,,44.4%,"19,133",,"6,762","25,895","1,407","5,757","2,899",0,402,,LAB HOLD,,28.2%,58.4%,4.9%,5.1%,2.9%,0.0%,0.0%,0.6%,LAB,-12.6%,+1.7%,-1.5%,+8.0%,+4.0%,,,+0.3%
Dominic Raab,CON,LDM,Esher and Walton,E14001230,South East,,21.2%,6.9%,53.3%,14.7%,3.3%,,,0.6%,LDM,,32.1%,"18,062",,"11,892","3,902","29,954","8,272","1,849",0,337,,LDM GAIN,x,49.5%,4.8%,44.2%,0.0%,0.2%,0.0%,0.0%,1.3%,CON,-28.7%,+2.2%,+9.7%,+14.4%,+3.2%,,,-0.7%
Ben Bradshaw,LAB,LAB,Exeter,E14001231,South West,,7.7%,58.0%,4.9%,12.5%,16.3%,,,0.6%,LAB,,41.7%,"20,132",,"3,727","28,013","2,378","6,063","7,881",0,272,,LAB HOLD,,32.1%,54.8%,0.0%,2.6%,9.3%,0.0%,0.0%,1.2%,LAB,-24.6%,+3.1%,+5.1%,+9.6%,+7.3%,,,-0.6%
Simon Jupp,CON,LAB,Exmouth and Exeter East,E14001232,South West,,25.7%,25.7%,19.9%,20.1%,7.5%,,,1.2%,LAB,,0.0%,11,,"14,321","14,332","11,080","11,203","4,189",0,677,,LAB GAIN,,49.8%,10.5%,3.0%,0.3%,1.7%,0.0%,0.0%,34.6%,CON,-24.1%,+16.0%,+16.6%,+18.9%,+6.0%,,,-33.4%
Suella Braverman,CON,CON,Fareham and Waterlooville,E14001233,South East,,31.2%,24.7%,19.0%,18.1%,6.6%,,,0.3%,CON,,6.5%,"3,302",,"15,742","12,440","9,578","9,116","3,335",0,170,,CON HOLD,,61.2%,15.8%,18.9%,0.0%,4.1%,0.0%,0.0%,0.0%,CON,-30.7%,+8.8%,+0.9%,+18.0%,+2.6%,,,+0.3%
Jeremy Hunt,CON,LDM,Farnham and Bordon,E14001234,South East,,30.7%,10.6%,36.8%,17.9%,3.6%,,,0.5%,LDM,,6.1%,"3,129",,"15,673","5,401","18,802","9,146","1,836",0,271,,LDM GAIN,,59.4%,6.8%,32.9%,0.0%,0.9%,0.0%,0.0%,0.0%,CON,-29.2%,+3.8%,+4.6%,+17.5%,+2.8%,,,+0.5%
Helen Whately,CON,LAB,Faversham and Mid Kent,E14001235,South East,,30.4%,31.1%,9.8%,21.1%,6.9%,,,0.7%,LAB,,0.7%,322,,"14,660","14,982","4,722","10,193","3,353",0,339,,LAB GAIN,,62.6%,19.9%,12.5%,0.0%,4.1%,0.0%,0.0%,1.0%,CON,-32.5%,+11.5%,-2.2%,+20.5%,+3.0%,,,-0.3%
Seema Malhotra,LAB,LAB,Feltham and Heston,E14001236,Greater London,,21.1%,53.7%,4.2%,14.2%,6.1%,,,0.8%,LAB,,32.6%,"14,286",,"9,246","23,532","1,843","6,226","2,677",0,333,,LAB HOLD,,35.8%,51.7%,6.6%,3.5%,2.4%,0.0%,0.0%,0.0%,LAB,-14.5%,+1.6%,-2.2%,+10.3%,+4.1%,,,+0.8%
Jack Lopresti,CON,LAB,Filton and Bradley Stoke,E14001237,South West,,22.7%,50.3%,6.6%,14.3%,5.8%,,,0.3%,LAB,,27.6%,"14,216",,"11,707","25,923","3,410","7,352","2,989",0,138,,LAB GAIN,,51.0%,35.8%,10.0%,0.0%,2.7%,0.0%,0.0%,0.5%,CON,-28.5%,+14.7%,-3.1%,+13.9%,+3.2%,,,-0.2%
Mike Freer,CON,LAB,Finchley and Golders Green,E14001238,Greater London,,31.5%,35.3%,17.4%,8.8%,6.4%,,,0.6%,LAB,,3.8%,"2,070",,"17,464","19,533","9,659","4,856","3,545",0,324,,LAB GAIN,,43.8%,24.4%,31.8%,0.0%,0.0%,0.0%,0.0%,0.0%,CON,-11.7%,+10.8%,-14.9%,+8.6%,+6.6%,,,+0.6%
Damian Collins,CON,LAB,Folkestone and Hythe,E14001239,South East,,23.7%,36.8%,6.9%,23.6%,8.2%,,,0.7%,LAB,,13.1%,"5,862",,"10,628","16,489","3,097","10,589","3,694",0,318,,LAB GAIN,,56.3%,26.8%,10.0%,0.0%,4.9%,0.0%,0.0%,2.0%,CON,-32.8%,+10.3%,-2.7%,+23.1%,+3.5%,,,-1.3%
Mark Harper,CON,LAB,Forest of Dean,E14001240,South West,,23.3%,34.7%,5.7%,22.6%,13.1%,,,0.5%,LAB,C,11.4%,"5,841",,"12,015","17,856","2,948","11,647","6,762",0,259,,LAB GAIN,,59.6%,28.8%,0.0%,0.0%,9.1%,0.0%,0.0%,2.5%,CON,-36.1%,+5.6%,+6.1%,+21.9%,+4.6%,,,-2.0%
Unknown (new seat),CON,LDM,Frome and East Somerset,E14001241,South West,,19.7%,21.4%,31.9%,16.6%,9.7%,,,0.8%,LDM,,10.5%,"5,034",,"9,465","10,267","15,301","7,946","4,657",0,366,,LDM GAIN,,49.3%,21.2%,23.5%,0.0%,6.1%,0.0%,0.0%,0.0%,CON,-30.0%,+0.2%,+9.1%,+16.2%,+3.8%,,,+0.7%
Mark Menzies,CON,LAB,Fylde,E14001242,North West,,30.2%,35.0%,5.8%,22.1%,5.8%,,,1.0%,LAB,,4.8%,"2,515",,"15,698","18,214","3,035","11,479","3,030",0,523,,LAB GAIN,,62.2%,25.2%,7.4%,0.0%,3.5%,0.0%,0.0%,1.8%,CON,-32.2%,+10.1%,-1.2%,+21.6%,+2.5%,,,-0.8%
Edward Leigh,CON,CON,Gainsborough,E14001243,East Midlands,,32.8%,30.1%,8.7%,23.8%,3.8%,,,0.7%,CON,,2.7%,"1,305",,"16,109","14,804","4,276","11,681","1,887",0,353,,CON HOLD,,66.3%,21.2%,10.4%,0.0%,0.0%,0.0%,0.0%,2.2%,CON,-33.6%,+9.2%,-1.3%,+23.2%,+3.9%,,,-1.5%
Ian Mearns,LAB,LAB,Gateshead Central and Whickham,E14001244,North East,,7.8%,52.7%,9.8%,20.1%,8.3%,,,1.3%,LAB,,32.6%,"13,677",,"3,270","22,135","4,115","8,457","3,499",0,553,,LAB HOLD,,33.0%,47.1%,12.2%,3.9%,3.8%,0.0%,0.0%,0.0%,LAB,-25.5%,+5.5%,-2.0%,+15.9%,+4.8%,,,+1.2%
Tom Randall,CON,LAB,Gedling,E14001245,East Midlands,,18.9%,52.4%,3.9%,19.6%,4.8%,,,0.3%,LAB,,32.8%,"17,736",,"10,221","28,365","2,117","10,629","2,622",0,164,,LAB GAIN,x,47.2%,42.8%,4.5%,3.4%,2.2%,0.0%,0.0%,0.0%,CON,-28.5%,+9.9%,-0.4%,+15.9%,+2.8%,,,+0.3%
Rehman Chishti,CON,LAB,Gillingham and Rainham,E14001246,South East,,30.5%,40.0%,4.7%,19.6%,4.7%,,,0.6%,LAB,,9.5%,"4,348",,"14,018","18,366","2,140","8,990","2,148",0,261,,LAB GAIN,,61.3%,28.4%,5.5%,0.0%,2.3%,0.0%,0.0%,2.6%,CON,-31.0%,+12.0%,-0.6%,+19.1%,+2.5%,,,-2.0%
David Warburton,CON,LDM,Glastonbury and Somerton,E14001247,South West,,26.9%,10.4%,41.9%,16.1%,4.2%,,,0.5%,LDM,,15.0%,"7,991",,"14,313","5,528","22,304","8,545","2,233",0,287,,LDM GAIN,,57.5%,9.6%,30.9%,0.0%,2.0%,0.0%,0.0%,0.0%,CON,-31.2%,+0.9%,+11.8%,+15.9%,+2.1%,,,+0.5%
Richard Graham,CON,LAB,Gloucester,E14001248,South West,,24.3%,45.8%,6.6%,17.8%,5.0%,,,0.5%,LAB,,21.5%,"10,988",,"12,389","23,377","3,390","9,102","2,574",0,247,,LAB GAIN,,54.6%,35.2%,7.7%,0.0%,2.5%,0.0%,0.0%,0.0%,CON,-30.5%,+10.7%,-0.7%,+17.4%,+2.7%,,,+0.5%
Unknown (new seat),CON,LDM,Godalming and Ash,E14001249,South East,,26.5%,11.8%,41.4%,16.8%,2.9%,,,0.7%,LDM,C,14.9%,"8,323",,"14,743","6,562","23,066","9,338","1,610",0,372,,LDM GAIN,,53.4%,8.9%,34.1%,0.0%,1.6%,0.0%,0.0%,1.9%,CON,-27.4%,+2.9%,+8.0%,+16.4%,+1.4%,,,-1.2%
David Davis,CON,CON,Goole and Pocklington,E14001250,Yorkshire and the Humber,,32.5%,31.0%,6.2%,23.3%,6.2%,,,0.9%,CON,,1.5%,745,,"16,214","15,469","3,093","11,615","3,103",0,430,,CON HOLD,,65.1%,20.4%,7.8%,0.0%,3.9%,0.0%,0.0%,2.8%,CON,-32.6%,+10.5%,-1.4%,+23.0%,+2.4%,,,-1.9%
Afzal Khan,LAB,LAB,Gorton and Denton,E14001251,North West,,5.4%,67.5%,4.9%,14.1%,6.5%,,,1.6%,LAB,,53.4%,"24,490",,"2,463","30,940","2,263","6,450","3,001",0,730,,LAB HOLD,,18.9%,67.2%,5.8%,4.9%,2.5%,0.0%,0.0%,0.7%,LAB,-13.6%,+0.3%,-0.6%,+8.9%,+4.2%,,,+0.9%
Caroline Dinenage,CON,CON,Gosport,E14001252,South East,,34.9%,28.8%,9.6%,19.6%,6.5%,,,0.6%,CON,,6.1%,"2,969",,"16,927","13,958","4,641","9,495","3,146",0,295,,CON HOLD,,66.5%,18.5%,11.3%,0.0%,3.7%,0.0%,0.0%,0.0%,CON,-32.2%,+10.2%,-1.2%,+19.5%,+3.0%,,,+0.7%
Gareth Davies,CON,CON,Grantham and Bourne,E14001253,East Midlands,,31.3%,29.0%,7.3%,24.5%,7.3%,,,0.7%,CON,,2.3%,"1,164",,"15,316","14,151","3,557","11,965","3,554",0,321,,CON HOLD,,65.8%,20.0%,9.0%,0.0%,4.3%,0.0%,0.0%,0.9%,CON,-34.7%,+9.2%,-1.4%,+23.9%,+3.1%,,,-0.3%
Adam Holloway,CON,LAB,Gravesham,E14001254,South East,,30.4%,39.7%,4.3%,19.6%,5.8%,,,0.1%,LAB,,9.3%,"4,389",,"14,484","18,873","2,062","9,350","2,753",0,60,,LAB GAIN,,62.2%,29.4%,5.4%,0.0%,2.9%,0.0%,0.0%,0.0%,CON,-32.1%,+10.6%,-0.9%,+19.2%,+3.0%,,,+0.1%
Lia Nici,CON,LAB,Great Grimsby and Cleethorpes,E14001255,Yorkshire and the Humber,,24.1%,42.1%,4.3%,25.3%,3.9%,,,0.3%,LAB,,16.8%,"7,023",,"10,061","17,556","1,775","10,533","1,628",0,131,,LAB GAIN,,55.6%,32.2%,4.9%,4.9%,2.0%,0.0%,0.0%,0.4%,CON,-31.7%,+10.2%,-0.4%,+19.9%,+2.1%,,,-0.1%
Brandon Lewis,CON,LAB,Great Yarmouth,E14001256,East of England,,29.8%,35.2%,3.4%,26.5%,4.4%,,,0.7%,LAB,,5.4%,"2,357",,"12,945","15,302","1,463","11,518","1,928",0,292,,LAB GAIN,,65.8%,25.2%,3.8%,0.0%,2.5%,0.0%,0.0%,2.8%,CON,-35.9%,+9.8%,-0.2%,+26.4%,+2.0%,,,-2.1%
Matthew Pennycook,LAB,LAB,Greenwich and Woolwich,E14001257,Greater London,,11.3%,60.5%,8.6%,7.9%,10.7%,,,1.0%,LAB,,49.2%,"23,291",,"5,339","28,630","4,066","3,751","5,063",0,492,,LAB HOLD,,22.7%,55.0%,14.6%,2.3%,4.6%,0.0%,0.0%,0.8%,LAB,-11.6%,+5.4%,-5.7%,+5.4%,+6.3%,,,+0.3%
Angela Richardson,CON,LDM,Guildford,E14001258,South East,,19.1%,11.7%,48.3%,16.3%,3.5%,,,1.0%,LDM,,29.2%,"15,364",,"10,051","6,160","25,415","8,573","1,860",0,538,,LDM GAIN,x,45.1%,8.4%,39.2%,0.0%,0.4%,0.0%,0.0%,7.0%,CON,-26.3%,+3.4%,+9.8%,+15.9%,+3.3%,,,-6.0%
Diane Abbott,LAB,LAB,Hackney North and Stoke Newington,E14001259,Greater London,,6.4%,66.9%,4.0%,5.1%,16.7%,,,1.0%,LAB,,50.2%,"25,795",,"3,266","34,375","2,032","2,604","8,580",0,492,,LAB HOLD,,13.0%,69.8%,7.7%,1.0%,8.0%,0.0%,0.0%,0.4%,LAB,-6.8%,-2.9%,-3.6%,+4.0%,+8.9%,,,+0.5%
Meg Hillier,LAB,LAB,Hackney South and Shoreditch,E14001260,Greater London,,5.1%,72.7%,4.0%,4.4%,12.9%,,,0.9%,LAB,,59.8%,"28,590",,"2,423","34,769","1,932","2,096","6,178",0,426,,LAB HOLD,,10.4%,73.4%,8.2%,1.4%,6.4%,0.0%,0.0%,0.2%,LAB,-5.5%,-0.8%,-3.9%,+2.9%,+6.6%,,,+0.6%
