2019 MP + Result,Constituency + Forecast,,,Code,Region,,CON,LAB,LDM,RFM,GRN,SNP,PLC,OTH,Tot,,Maj,Maj,,21.0%,40.9%,11.5%,15.9%,6.1%,3.5%,1.1%,,Result,,GE2019 RESULTS,,,,,,,,Tot,Vote Share Change,,,,,,,
Shabana Mahmood,LAB,LAB,Birmingham Ladywood,E14001096,West Midlands,,3.7%,75.8%,3.1%,5.0%,6.6%,,,5.8%,LAB,,69.2%,"30,849",,"1,658","33,791","1,404","2,208","2,941",0,"2,570",,LAB HOLD,,9.8%,83.0%,2.8%,2.2%,1.9%,0.0%,0.0%,0.4%,LAB,-6.2%,-7.4%,+0.5%,+2.6%,+4.9%,,,+5.6%
Gary Sambrook,CON,LAB,Birmingham Northfield,E14001097,West Midlands,,19.2%,53.0%,4.1%,18.2%,4.8%,,,0.6%,LAB,,33.8%,"14,785",,"8,398","23,183","1,802","7,978","2,103",0,257,,LAB GAIN,x,46.1%,42.7%,4.6%,3.8%,2.2%,0.0%,0.0%,0.6%,CON,-27.2%,+10.6%,-0.3%,+14.1%,+2.7%,,,0.0%
Khalid Mahmood,LAB,LAB,Birmingham Perry Barr,E14001098,West Midlands,,6.5%,69.5%,5.7%,9.3%,6.2%,,,2.8%,LAB,,60.2%,"28,243",,"3,050","32,620","2,683","4,377","2,898",0,"1,318",,LAB HOLD,,20.4%,68.0%,6.5%,2.8%,1.9%,0.0%,0.0%,0.3%,LAB,-14.1%,+1.4%,-0.6%,+6.2%,+4.5%,,,+2.5%
Steve McCabe,LAB,LAB,Birmingham Selly Oak,E14001099,West Midlands,,9.1%,62.7%,6.1%,12.5%,8.7%,,,0.9%,LAB,,50.2%,"24,279",,"4,379","30,343","2,930","6,064","4,229",0,421,,LAB HOLD,,31.6%,55.7%,6.2%,2.7%,3.7%,0.0%,0.0%,0.0%,LAB,-22.8%,+7.0%,+0.1%,+9.5%,+5.3%,,,+0.9%
Jess Phillips,LAB,LAB,Birmingham Yardley,E14001100,West Midlands,,8.4%,59.4%,9.1%,16.0%,5.5%,,,1.6%,LAB,,43.4%,"18,209",,"3,524","24,903","3,798","6,694","2,317",0,689,,LAB HOLD,,26.8%,58.1%,8.9%,5.0%,1.2%,0.0%,0.0%,0.0%,LAB,-18.6%,+1.1%,+0.5%,+10.5%,+4.5%,,,+2.0%
Dehenna Davison,CON,LAB,Bishop Auckland,E14001101,North East,,22.2%,45.9%,3.4%,24.2%,3.8%,,,0.5%,LAB,,21.7%,"10,751",,"11,021","22,748","1,668","11,996","1,867",0,244,,LAB GAIN,,53.0%,36.6%,3.6%,5.5%,0.6%,0.0%,0.0%,0.7%,CON,-31.0%,+9.4%,0.0%,+18.5%,+3.3%,,,-0.2%
Kate Hollern,LAB,LAB,Blackburn,E14001102,North West,,7.3%,65.3%,3.0%,16.1%,5.0%,,,3.4%,LAB,,49.2%,"21,454",,"3,176","28,469","1,296","7,015","2,192",0,"1,473",,LAB HOLD,,23.3%,66.0%,2.4%,5.9%,1.6%,0.0%,0.0%,0.7%,LAB,-16.1%,-0.5%,+0.7%,+9.7%,+3.6%,,,+2.6%
Graham Stringer,LAB,LAB,Blackley and Middleton South,E14001103,North West,,7.0%,63.6%,3.3%,20.6%,5.4%,,,0.1%,LAB,,43.0%,"16,149",,"2,643","23,874","1,230","7,725","2,027",0,44,,LAB HOLD,,28.2%,59.0%,3.0%,7.7%,2.0%,0.0%,0.0%,0.0%,LAB,-21.3%,+4.7%,+0.5%,+12.4%,+3.6%,,,+0.1%
Paul Maynard,CON,LAB,Blackpool North and Fleetwood,E14001104,North West,,24.9%,45.1%,3.4%,22.5%,3.6%,,,0.4%,LAB,,20.2%,"10,126",,"12,475","22,600","1,711","11,256","1,826",0,194,,LAB GAIN,,55.8%,35.6%,4.0%,1.7%,1.9%,0.0%,0.0%,0.9%,CON,-31.0%,+9.8%,-0.4%,+20.3%,+1.9%,,,-0.5%
Scott Benton,CON,LAB,Blackpool South,E14001105,North West,,18.0%,50.7%,2.7%,23.8%,3.8%,,,1.0%,LAB,,26.9%,"11,398",,"7,640","21,504","1,134","10,106","1,630",0,434,,LAB GAIN,x,48.8%,40.1%,3.5%,4.7%,1.9%,0.0%,0.0%,0.9%,CON,-30.9%,+10.7%,-0.7%,+18.7%,+2.1%,,,+0.1%
